dist_id,year,unemployment
MI_14,2006,17.5
MI_15,2006,8
MN_1,2006,4.2
MN_2,2006,4.4
MN_3,2006,4.5
MN_4,2006,6.5
MN_5,2006,6.8
MN_6,2006,4.9
MN_7,2006,4.6
MN_8,2006,6.4
MS_1,2006,8.7
MS_2,2006,12.1
MS_3,2006,7.2
MS_4,2006,8
MO_1,2006,10.1
MO_2,2006,3.9
MO_3,2006,6.7
MO_4,2006,5.5
MO_5,2006,8
MO_6,2006,4.5
MO_7,2006,5.9
MO_8,2006,7.5
MO_9,2006,5.5
MT_1,2006,4.8
NE_1,2006,4.5
NE_2,2006,6
NE_3,2006,3.9
NV_1,2006,5.9
NV_2,2006,5.1
NV_3,2006,4.6
NH_1,2006,4.9
NH_2,2006,4
NJ_1,2006,6.6
NJ_2,2006,7.8
NJ_3,2006,6.2
NJ_4,2006,5.5
NJ_5,2006,4.4
NJ_6,2006,6.2
NJ_7,2006,4.7
NJ_8,2006,5.5
NJ_9,2006,6.1
NJ_10,2006,11
NJ_11,2006,4.2
NJ_12,2006,6.1
NJ_13,2006,7.6
NM_1,2006,5.7
NM_2,2006,7.4
NM_3,2006,6.2
NY_1,2006,4.4
NY_2,2006,4.3
NY_3,2006,4.1
NY_4,2006,5
NY_5,2006,6
NY_6,2006,8.7
NY_7,2006,7.8
NY_8,2006,5.2
NY_9,2006,5.7
NY_10,2006,9.3
NY_11,2006,8.7
NY_12,2006,6.4
NY_13,2006,5.6
NY_14,2006,5.7
NY_15,2006,10.3
NY_16,2006,14.2
NY_17,2006,8
NY_18,2006,4.8
NY_19,2006,5.1
NY_20,2006,5.8
NY_21,2006,5.6
NY_22,2006,5.8
NY_23,2006,7.6
NY_24,2006,6.4
NY_25,2006,5.6
NY_26,2006,5.4
NY_27,2006,6.2
NY_28,2006,8.3
NY_29,2006,6.5
NC_1,2006,9.2
NC_2,2006,7.9
NC_3,2006,6.1
NC_4,2006,5.2
NC_5,2006,5.2
NC_6,2006,5.3
NC_7,2006,6.5
NC_8,2006,7.2
NC_9,2006,5.2
NC_10,2006,7.9
NC_11,2006,4.8
NC_12,2006,9.7
NC_13,2006,6.8
ND_1,2006,3.3
OH_1,2006,7.9
OH_2,2006,6.3
OH_3,2006,7.4
OH_4,2006,6
OH_5,2006,6.3
OH_6,2006,7.5
OH_7,2006,6.3
OH_8,2006,5.9
OH_9,2006,8.2
OH_10,2006,7.7
OH_11,2006,12.5
OH_12,2006,6.4
OH_13,2006,6.8
OH_14,2006,4.8
OH_15,2006,6.3
OH_16,2006,6.6
OH_17,2006,8.4
OH_18,2006,7.7
OK_1,2006,5.6
OK_2,2006,7.2
OK_3,2006,5.7
OK_4,2006,5.6
OK_5,2006,5.8
OR_1,2006,5.6
OR_2,2006,6.6
OR_3,2006,6.2
OR_4,2006,6.4
OR_5,2006,6.9
PA_1,2006,14.2
PA_2,2006,11.8
PA_3,2006,6.5
PA_4,2006,5.6
PA_5,2006,6.8
PA_6,2006,4.9
PA_7,2006,5.4
PA_8,2006,4.4
PA_9,2006,5.6
PA_10,2006,6.4
PA_11,2006,6.7
PA_12,2006,7
PA_13,2006,6
PA_14,2006,7.7
PA_15,2006,5.1
PA_16,2006,4
PA_17,2006,5.2
PA_18,2006,4.2
PA_19,2006,4.6
RI_1,2006,5.4
RI_2,2006,6.4
SC_1,2006,5.5
SC_2,2006,4.7
SC_3,2006,8.5
SC_4,2006,7.2
SC_5,2006,7.8
SC_6,2006,11.6
SD_1,2006,4.3
TN_1,2006,6.5
TN_2,2006,6
TN_3,2006,7.3
TN_4,2006,8.4
TN_5,2006,5.9
TN_6,2006,6.8
TN_7,2006,5.9
TN_8,2006,9.4
TN_9,2006,11.2
TX_1,2006,7.7
TX_2,2006,7.2
TX_3,2006,4.7
TX_4,2006,6.6
TX_5,2006,6.8
TX_6,2006,7.5
TX_7,2006,4.7
TX_8,2006,7.2
TX_9,2006,9.1
TX_10,2006,5.4
TX_11,2006,4.6
TX_12,2006,6.8
TX_13,2006,6.1
TX_14,2006,7
TX_15,2006,8
TX_16,2006,8.1
TX_17,2006,7.9
TX_18,2006,9.4
TX_19,2006,5.8
TX_20,2006,7.5
TX_21,2006,4.9
TX_22,2006,6.4
TX_23,2006,6.8
TX_24,2006,5.7
TX_25,2006,8.9
TX_26,2006,7.2
TX_27,2006,8.5
TX_28,2006,8.3
TX_29,2006,10.1
TX_30,2006,10.2
TX_31,2006,6.4
TX_32,2006,5.4
UT_1,2006,4.9
UT_2,2006,4.1
UT_3,2006,4.3
VT_1,2006,4.8
VA_1,2006,4.3
VA_2,2006,4.5
VA_3,2006,8.3
VA_4,2006,4.7
VA_5,2006,6.1
VA_6,2006,4.2
VA_7,2006,4.6
VA_8,2006,2.8
VA_9,2006,6.6
VA_10,2006,2.9
VA_11,2006,3.9
WA_1,2006,4.8
WA_2,2006,5.2
WA_3,2006,6.8
WA_4,2006,9.5
WA_5,2006,6.9
WA_6,2006,8.7
WA_7,2006,5.3
WA_8,2006,5.3
WA_9,2006,6.2
WV_1,2006,7.4
