year,dist_id,dem_vote_share,congress,icpsr,nominate_dim1,nominate_dim2,nokken_poole_dim1,nokken_poole_dim2,age,dem_incumbent,dem_prior_vote_share,president,house,senate,median_HH_income,median_age,mortgage_cost,unemp_rate,bachelor_deg_perc,black_perc,HS_diploma_perc,white_perc,redistricted
2014,FL_25,0.0,113.0,20316.0,0.276,0.10300000000000001,0.231,0.26,53.0,0,0.0,1,0.462068966,0.540816327,21512.0,39.5,1148.0,6.6,0.12150671221077657,0.07285358176876078,0.20068477161310405,0.8548147333227791,0.0
2016,FL_25,0.37639788343073766,114.0,20316.0,0.276,0.10300000000000001,0.22699999999999998,0.257,55.0,0,0.0,1,0.43218390799999995,0.44897959200000004,21381.0,42.5,1129.0,4.8,0.10719879312963904,0.04618479154771695,0.21220149077823233,0.8956690954234261,0.0
2018,FL_25,0.39518446236685556,115.0,20316.0,0.276,0.10300000000000001,0.235,0.321,57.0,0,0.37639788343073766,0,0.554022989,0.469387755,22050.0,42.7,1181.0,4.1,0.11501410045259763,0.045030518963251734,0.23079149516025338,0.904096431215149,0.0
2014,FL_26,0.48535673776009225,113.0,21322.0,-0.204,0.032,-0.201,0.02,51.0,1,0.5549539085696524,1,0.462068966,0.540816327,23190.0,40.1,1299.0,6.0,0.12050815534913004,0.09391856922576204,0.1916493706748905,0.8630090757270986,0.0
2016,FL_26,0.437407211028632,114.0,21512.0,0.21100000000000002,-0.187,0.192,-0.188,36.0,0,0.48535673776009225,1,0.43218390799999995,0.44897959200000004,23709.0,38.4,1328.0,5.4,0.12990481937486056,0.11243686740634064,0.19445092391635058,0.812551976633334,0.0
2018,FL_26,0.508665190957101,115.0,21512.0,0.21100000000000002,-0.187,0.24100000000000002,-0.192,38.0,0,0.437407211028632,0,0.554022989,0.469387755,24924.0,38.7,1384.0,5.5,0.13638667268804255,0.09707461488283406,0.19477896532691052,0.8178972853630387,0.0
2014,FL_27,0.0,113.0,15634.0,0.244,-0.226,0.245,0.132,62.0,0,0.3803890688476475,1,0.462068966,0.540816327,20821.0,39.9,1140.0,7.8,0.1210189323854648,0.07154908388925929,0.20079348485027806,0.8727951996402097,0.0
2016,FL_27,0.4510614334826907,114.0,15634.0,0.244,-0.226,0.204,-0.142,64.0,0,0.0,1,0.43218390799999995,0.44897959200000004,25950.0,41.9,1359.0,4.5,0.15700576535140265,0.0521170632716194,0.18481652475272706,0.8550871495711794,0.0
2018,FL_27,0.530648057128466,115.0,15634.0,0.244,-0.226,0.215,-0.19899999999999998,66.0,0,0.4510614334826907,0,0.554022989,0.469387755,26037.0,42.1,1414.0,4.6,0.17721937685314676,0.055224269623674764,0.16696149423994686,0.8598415737309294,0.0
2006,FL_3,1.0,109.0,29328.0,-0.429,0.192,-0.41600000000000004,0.107,60.0,1,1.0,0,0.464367816,0.484848485,19262.0,33.4,740.0,8.2,0.0686390166982431,0.5180147448193083,0.23523164546535028,0.39358547405829675,0.0
2008,FL_3,1.0,110.0,29328.0,-0.429,0.192,-0.406,0.21,62.0,1,1.0,0,0.535632184,0.5,20222.0,34.4,822.0,10.8,0.05782831979121574,0.5214063040140519,0.23075114373538214,0.3936863315446734,0.0
2010,FL_3,0.6503748043603613,111.0,29328.0,-0.429,0.192,-0.43200000000000005,0.134,64.0,1,1.0,1,0.590804598,0.581632653,18338.0,34.7,844.0,17.2,0.061359447951471316,0.5347843678974803,0.21976045443481723,0.4086325545520928,0.0
2012,FL_3,0.33399065837893865,112.0,29328.0,-0.429,0.192,-0.447,0.268,66.0,1,0.6503748043603613,1,0.443678161,0.5204081629999999,21618.0,38.2,810.0,10.7,0.0935191613835805,0.13363599631227308,0.19643405911744954,0.7889046654298364,1.0
2014,FL_3,0.3320290564732414,113.0,21317.0,0.6990000000000001,-0.384,0.73,-0.308,59.0,0,0.33399065837893865,1,0.462068966,0.540816327,23359.0,38.8,803.0,10.3,0.09700237698209861,0.1259158084671957,0.21011572076186327,0.8005443875570154,0.0
2016,FL_3,0.41291897474415545,114.0,21317.0,0.6990000000000001,-0.384,0.667,-0.511,61.0,0,0.3320290564732414,1,0.43218390799999995,0.44897959200000004,23340.0,37.8,848.0,5.8,0.09732299942083465,0.1553501764815159,0.2139742763165084,0.7627348078373092,0.0
2018,FL_3,0.4228438411597733,115.0,21317.0,0.6990000000000001,-0.384,0.726,-0.142,63.0,0,0.41291897474415545,0,0.554022989,0.469387755,25044.0,37.6,846.0,5.6,0.10044782379283752,0.156628739193376,0.21347665498626764,0.7557276798398117,0.0
2006,FL_4,0.30326889901357984,109.0,20111.0,0.33299999999999996,0.337,0.371,0.09,62.0,0,0.0,0,0.464367816,0.484848485,27119.0,37.4,898.0,5.0,0.11950967193367817,0.1441975483596684,0.2072514702756324,0.7814270530716361,0.0
2008,FL_4,0.3474531361918461,110.0,20111.0,0.33299999999999996,0.337,0.377,0.162,64.0,0,0.30326889901357984,0,0.535632184,0.5,29941.0,38.2,1033.0,6.2,0.11779326193843126,0.14344990861693077,0.20065557117540692,0.7831952294846051,0.0
2010,FL_4,0.0,111.0,20111.0,0.33299999999999996,0.337,0.309,0.345,66.0,0,0.3474531361918461,1,0.590804598,0.581632653,27038.0,37.6,1028.0,10.2,0.12359556591951355,0.16320952935525507,0.20234986945169714,0.7583179260396233,0.0
2012,FL_4,0.0,112.0,20111.0,0.33299999999999996,0.337,0.297,0.544,68.0,0,0.0,1,0.443678161,0.5204081629999999,27033.0,37.5,1055.0,10.1,0.13688825468820118,0.13124698294594714,0.19772055815323025,0.7757690037245134,1.0
2014,FL_4,0.0,113.0,20111.0,0.33299999999999996,0.337,0.282,0.418,70.0,0,0.0,1,0.462068966,0.540816327,29376.0,38.1,1047.0,6.9,0.13676840868397494,0.1362704230080573,0.1962762981199642,0.7755581356311548,0.0
2016,FL_4,0.28229866923616503,114.0,20111.0,0.33299999999999996,0.337,0.303,0.618,72.0,0,0.0,1,0.43218390799999995,0.44897959200000004,34877.0,39.8,1180.0,3.9,0.18267447535383113,0.08817009581053659,0.16341861241684005,0.8197785826205337,0.0
2018,FL_4,0.33137413479249894,115.0,21744.0,0.34700000000000003,0.601,0.34700000000000003,0.601,66.0,0,0.28229866923616503,0,0.554022989,0.469387755,34116.0,39.6,1199.0,4.5,0.18454979050436354,0.0948939030148883,0.16609493637678732,0.8121272614160756,0.0
2006,FL_5,0.4014997420591053,109.0,20313.0,0.36,0.084,0.414,-0.115,63.0,0,0.34061818331481253,0,0.464367816,0.484848485,21932.0,43.1,757.0,6.5,0.08983811451855431,0.05204450501889563,0.2650326421746749,0.8816941089261041,0.0
2008,FL_5,0.3884538041472954,110.0,20313.0,0.36,0.084,0.374,-0.046,65.0,0,0.4014997420591053,0,0.535632184,0.5,22341.0,43.3,799.0,9.7,0.08673696701519817,0.06079813788112257,0.25731601035379825,0.8822885719191256,0.0
2010,FL_5,0.32569193956205417,111.0,20313.0,0.36,0.084,0.341,0.026000000000000002,67.0,0,0.3884538041472954,1,0.590804598,0.581632653,21613.0,47.2,844.0,14.3,0.10144447235491423,0.06357219301004566,0.25673527716855554,0.8793898302222541,0.0
