year,dist_id,congress,icpsr,nominate_dim1,nominate_dim2,nokken_poole_dim1,nokken_poole_dim2,age,dem_incumbent,dem_prior_vote_share,president,house,senate,median_HH_income,median_age,mortgage_cost,unemp_rate,bachelor_deg_perc,black_perc,HS_diploma_perc,white_perc,redistricted,dem_won_2016,dem_vote_share_2016
2014,NH_1,113.0,20731.0,-0.315,-0.13,-0.303,-0.146,62.0,1,0.5196649198175042,1,0.462068966,0.540816327,31686.0,42.3,1242.0,5.2,0.15860741693358893,0.01319837983690198,0.19481920398069744,0.9335408616431194,0.0,1.0,0.5076803568296289
2016,NH_1,114.0,21535.0,0.4270000000000001,-0.073,0.429,-0.08800000000000001,46.0,0,0.4819648584058743,1,0.432183908,0.448979592,33064.0,41.9,1273.0,3.6,0.16800893355667226,0.012815187046342826,0.18429034059184807,0.9341031081332588,0.0,1.0,0.5076803568296289
2006,NH_2,109.0,29538.0,0.331,-0.556,0.423,-0.7509999999999999,54.0,0,0.3958694085973937,0,0.464367816,0.484848485,27140.0,39.8,1097.0,4.0,0.14062696270515535,0.009880544977159856,0.21225248851865355,0.9460506925572688,0.0,1.0,0.5233286113878918
2008,NH_2,110.0,20732.0,-0.256,-0.158,-0.337,-0.066,57.0,1,0.5361261345652292,0,0.535632184,0.5,29806.0,40.8,1200.0,4.7,0.1408662963193888,0.00869246526283454,0.20564158635970325,0.9471836929594986,0.0,1.0,0.5233286113878918
2010,NH_2,111.0,20732.0,-0.256,-0.158,-0.208,-0.238,59.0,1,0.5767254420402139,1,0.590804598,0.581632653,28671.0,41.1,1187.0,8.1,0.13638952767905566,0.008783491036233795,0.20750732462558816,0.942761876194891,0.0,1.0,0.5233286113878918
2012,NH_2,112.0,29538.0,0.331,-0.556,0.257,-0.377,60.0,0,0.4916927973042543,1,0.443678161,0.5204081629999999,30869.0,41.8,1233.0,6.2,0.15761939073938394,0.00983039763610272,0.20426004081113647,0.9426131237473584,1.0,1.0,0.5233286113878918
2014,NH_2,113.0,21340.0,-0.252,-0.138,-0.261,-0.138,58.0,1,0.5252876630711368,1,0.462068966,0.540816327,30981.0,42.6,1215.0,5.0,0.14542022773710264,0.012437972719339505,0.2061687746993728,0.9347142548181264,0.0,1.0,0.5233286113878918
2016,NH_2,114.0,21340.0,-0.252,-0.138,-0.257,-0.129,60.0,1,0.5501513231833852,1,0.432183908,0.448979592,32308.0,43.6,1222.0,3.6,0.15172881764856674,0.012159778035797758,0.19975421083583395,0.9345838925162476,0.0,1.0,0.5233286113878918
2006,NJ_1,109.0,29132.0,-0.297,-0.119,-0.338,-0.29600000000000004,49.0,1,0.7526527283067437,0,0.464367816,0.484848485,27401.0,36.5,1108.0,6.6,0.1056227807184614,0.17678999513335214,0.2260753188855977,0.7056128671765631,0.0,1.0,0.6198214593784568
2008,NJ_1,110.0,29132.0,-0.297,-0.119,-0.349,-0.04,51.0,1,1.0,0,0.535632184,0.5,29867.0,36.8,1234.0,7.6,0.11117572823415672,0.17338725747053485,0.2366069122281345,0.7112480534911697,0.0,1.0,0.6198214593784568
2010,NJ_1,111.0,29132.0,-0.297,-0.119,-0.423,0.116,53.0,1,0.736138546784856,1,0.590804598,0.581632653,28804.0,37.3,1281.0,13.2,0.11381346386006275,0.18369832049557872,0.2267532922146211,0.6774878790553367,0.0,1.0,0.6198214593784568
2012,NJ_1,112.0,29132.0,-0.297,-0.119,-0.411,0.092,55.0,1,0.6448549388705609,1,0.443678161,0.5204081629999999,30218.0,38.4,1297.0,11.5,0.13339941647852593,0.17683904418580135,0.21819896959582036,0.6813509987089142,1.0,1.0,0.6198214593784568
2014,NJ_1,113.0,29132.0,-0.297,-0.119,-0.413,0.093,57.0,1,0.6947832660458392,1,0.462068966,0.540816327,30573.0,38.7,1282.0,8.2,0.13771864654918115,0.17462361655868633,0.2244111156027052,0.6745116301937091,0.0,1.0,0.6198214593784568
2016,NJ_1,114.0,21536.0,-0.425,0.35100000000000003,-0.375,0.225,58.0,1,0.5928978066942842,1,0.432183908,0.448979592,32284.0,38.8,1332.0,6.4,0.13720263631047694,0.16980265926342886,0.2252627293245821,0.6784947235535541,0.0,1.0,0.6198214593784568
2006,NJ_10,109.0,15619.0,-0.5920000000000001,-0.547,-0.637,-0.547,72.0,1,1.0,0,0.464367816,0.484848485,23497.0,34.7,1007.0,11.0,0.08988604787359973,0.5834641695637546,0.23295079311676825,0.24540982891605295,0.0,1.0,0.8782822379501717
2008,NJ_10,110.0,15619.0,-0.5920000000000001,-0.547,-0.57,-0.391,74.0,1,1.0,0,0.535632184,0.5,26712.0,34.8,1112.0,9.5,0.08947594160537561,0.5843195501262887,0.21185207542374224,0.27425616749535353,0.0,1.0,0.8782822379501717
2010,NJ_10,111.0,15619.0,-0.5920000000000001,-0.547,-0.537,-0.449,76.0,1,1.0,1,0.590804598,0.581632653,25159.0,34.9,1180.0,18.3,0.0982287935081101,0.5805515699186297,0.21078054080078049,0.26491763192986123,0.0,1.0,0.8782822379501717
2012,NJ_10,112.0,15619.0,-0.5920000000000001,-0.547,-0.602,-0.535,78.0,1,0.8690723717808421,1,0.443678161,0.5204081629999999,25615.0,36.3,1213.0,17.3,0.11022154757230093,0.5405680287164061,0.21035988472366565,0.29350092895409063,1.0,1.0,0.8782822379501717
2014,NJ_10,113.0,31103.0,-0.519,-0.102,-0.484,-0.231,56.0,1,0.8924663057251468,1,0.462068966,0.540816327,26281.0,35.6,1237.0,13.3,0.11752630055663622,0.536702317410531,0.2129527296713356,0.2899744903110297,0.0,1.0,0.8782822379501717
2016,NJ_10,114.0,31103.0,-0.519,-0.102,-0.524,-0.084,58.0,1,0.8711961269656378,1,0.432183908,0.448979592,27333.0,35.3,1265.0,9.2,0.11868950033110748,0.5145331120673506,0.20820328680239875,0.2901701971606544,0.0,1.0,0.8782822379501717
2006,NJ_11,109.0,29541.0,0.29100000000000004,-0.262,0.33,-0.496,60.0,0,0.3136414257701742,0,0.464367816,0.484848485,40824.0,40.0,1833.0,4.2,0.1889990219406449,0.030392829511116305,0.16844663737354568,0.8399237989577099,0.0,0.0,0.4011637762319663
2008,NJ_11,110.0,29541.0,0.29100000000000004,-0.262,0.309,-0.401,62.0,0,0.371143995730652,0,0.535632184,0.5,42495.0,41.3,1978.0,3.7,0.19595666697247846,0.0312078412145039,0.15673405053715087,0.844640598468635,0.0,0.0,0.4011637762319663
2010,NJ_11,111.0,29541.0,0.29100000000000004,-0.262,0.264,0.193,64.0,0,0.3743659426264652,1,0.590804598,0.581632653,42234.0,41.3,1986.0,8.5,0.19508191339177253,0.03101188184414817,0.15929311832000692,0.8279012920498195,0.0,0.0,0.4011637762319663
2012,NJ_11,112.0,29541.0,0.29100000000000004,-0.262,0.246,0.1,66.0,0,0.31230541433726866,1,0.443678161,0.5204081629999999,43591.0,43.2,1914.0,6.9,0.21242665987838574,0.041326397243082034,0.16717784064236846,0.8326113941842498,1.0,0.0,0.4011637762319663
2014,NJ_11,113.0,29541.0,0.29100000000000004,-0.262,0.258,0.073,68.0,0,0.40471492875668813,1,0.462068966,0.540816327,43977.0,43.2,1926.0,6.2,0.2223246109004701,0.038374103873539615,0.15647064872925276,0.8206786339636326,0.0,0.0,0.4011637762319663
2016,NJ_11,114.0,29541.0,0.29100000000000004,-0.262,0.266,0.412,70.0,0,0.37429972789426746,1,0.432183908,0.448979592,47159.0,43.4,2007.0,4.7,0.230745012307382,0.032470771671486945,0.14922462130608172,0.8196362030568102,0.0,0.0,0.4011637762319663
2006,NJ_12,109.0,29923.0,-0.463,-0.33,-0.482,-0.381,58.0,1,0.5988420153119061,0,0.464367816,0.484848485,37743.0,39.4,1570.0,6.1,0.1818771148501727,0.11107977999744184,0.15493494110396633,0.7166173443877254,0.0,1.0,0.6625474278494141
2008,NJ_12,110.0,29923.0,-0.463,-0.33,-0.473,-0.471,60.0,1,0.6569796362912812,0,0.535632184,0.5,40843.0,39.8,1673.0,4.9,0.17672931404080608,0.11794063756449386,0.15868906152916873,0.7027308334931113,0.0,1.0,0.6625474278494141
2010,NJ_12,111.0,29923.0,-0.463,-0.33,-0.493,-0.152,62.0,1,0.6412164219612619,1,0.590804598,0.581632653,38613.0,40.7,1720.0,9.1,0.18657750992598265,0.11657135940572183,0.15359270607409614,0.6782531959482568,0.0,1.0,0.6625474278494141
2012,NJ_12,112.0,29923.0,-0.463,-0.33,-0.482,-0.334,64.0,1,0.5361162855217788,1,0.443678161,0.5204081629999999,32829.0,38.7,1562.0,9.4,0.16005088066306214,0.17961788406900084,0.171461380312787,0.5845924639068658,1.0,1.0,0.6625474278494141
2014,NJ_12,113.0,29923.0,-0.463,-0.33,-0.573,-0.633,66.0,1,0.7012686831689018,1,0.462068966,0.540816327,35455.0,39.5,1567.0,7.3,0.16454326146423418,0.1706065436060913,0.1612800740948155,0.5851969220496693,0.0,1.0,0.6625474278494141
2016,NJ_12,114.0,21538.0,-0.647,-0.165,-0.525,-0.4270000000000001,71.0,1,0.6253890095298691,1,0.432183908,0.448979592,38484.0,39.4,1562.0,6.6,0.17355185965336992,0.1708310254045399,0.16229223707044566,0.5940167960203194,0.0,1.0,0.6625474278494141
2006,NJ_13,109.0,29373.0,-0.363,-0.118,-0.35100000000000003,-0.054000000000000006,52.0,1,0.7742377132035878,0,0.464367816,0.484848485,23022.0,34.8,1059.0,7.6,0.10772363081513,0.12352630134394806,0.19968335734255865,0.5340716493174815,0.0,,
2008,NJ_13,110.0,20542.0,-0.404,0.094,-0.376,-0.075,57.0,1,0.8002113507801331,0,0.535632184,0.5,26222.0,35.2,1178.0,6.5,0.11555458010930185,0.12685055903966275,0.19702198334166093,0.6285869052566695,0.0,,
2010,NJ_13,111.0,20542.0,-0.404,0.094,-0.419,0.103,59.0,1,0.7760722551364454,1,0.590804598,0.581632653,25291.0,33.3,1187.0,12.2,0.13331298650631065,0.12307574922151793,0.1976819013533999,0.5600305778258935,0.0,,
2006,NJ_2,109.0,29539.0,0.211,-0.225,0.211,-0.401,60.0,0,0.33436709031440337,0,0.464367816,0.484848485,25783.0,38.5,1074.0,7.8,0.10124164418690088,0.1429112992109273,0.25237592706163725,0.7422860128775027,0.0,0.0,0.3859584366381592
2008,NJ_2,110.0,29539.0,0.211,-0.225,0.184,-0.366,62.0,0,0.3662048062351158,0,0.535632184,0.5,28466.0,38.5,1221.0,6.6,0.10330137977932304,0.14189717828913215,0.24674578278895296,0.7418094339760605,0.0,0.0,0.3859584366381592
2010,NJ_2,111.0,29539.0,0.211,-0.225,0.203,-0.065,64.0,0,0.3982546978553308,1,0.590804598,0.581632653,26330.0,40.3,1239.0,12.6,0.10639810085605353,0.13676857780015828,0.248577800158262,0.7365398172793324,0.0,0.0,0.3859584366381592
2012,NJ_2,112.0,29539.0,0.211,-0.225,0.226,-0.274,66.0,0,0.3207570586410177,1,0.443678161,0.5204081629999999,26476.0,41.5,1223.0,12.8,0.1077239257958706,0.12884597062866632,0.239787404897037,0.7395995807983885,1.0,0.0,0.3859584366381592
2014,NJ_2,113.0,29539.0,0.211,-0.225,0.22,-0.215,68.0,0,0.4113244731386351,1,0.462068966,0.540816327,26441.0,41.4,1249.0,9.4,0.10744809413970267,0.13084949991348455,0.2401246367373187,0.7440873165634159,0.0,0.0,0.3859584366381592
2016,NJ_2,114.0,29539.0,0.211,-0.225,0.233,-0.195,70.0,0,0.37750498853637204,1,0.432183908,0.448979592,27340.0,41.4,1251.0,8.1,0.11976277445233635,0.12153741569764635,0.23748202262219445,0.7538378168189659,0.0,0.0,0.3859584366381592
2006,NJ_3,109.0,15112.0,0.238,-0.378,0.262,-0.413,63.0,0,0.3532801711049206,0,0.464367816,0.484848485,31032.0,40.3,1364.0,6.2,0.14368705043691773,0.09195232896391764,0.23570519965716236,0.8221164646509451,0.0,0.0,0.39589348135178604
2008,NJ_3,110.0,15112.0,0.238,-0.378,0.235,-0.29,65.0,0,0.4126715611102592,0,0.535632184,0.5,34241.0,41.6,1486.0,6.4,0.14102603568858027,0.09253143236599193,0.2297959919610542,0.8321686829996233,0.0,0.0,0.39589348135178604
2010,NJ_3,111.0,20928.0,-0.114,0.349,-0.113,0.336,51.0,1,0.5207629134430006,1,0.590804598,0.581632653,33253.0,42.9,1526.0,9.3,0.1529173925326051,0.0936102217618532,0.22648488629408164,0.8203261099863459,0.0,0.0,0.39589348135178604
2012,NJ_3,112.0,21153.0,0.222,0.08900000000000001,0.228,0.115,39.0,0,0.486098094345517,1,0.443678161,0.5204081629999999,33539.0,42.7,1482.0,10.2,0.14795032696651625,0.10359824899052794,0.234996738421396,0.8139390704770529,1.0,0.0,0.39589348135178604
2014,NJ_3,113.0,21153.0,0.222,0.08900000000000001,0.214,0.014,41.0,0,0.4550489587470564,1,0.462068966,0.540816327,34495.0,43.0,1505.0,8.1,0.15943753394931054,0.10174650909194867,0.21900861887057532,0.8039074209959554,0.0,0.0,0.39589348135178604
2016,NJ_3,114.0,21537.0,0.206,0.271,0.207,0.259,56.0,0,0.4510021419828642,1,0.432183908,0.448979592,35722.0,43.3,1473.0,6.1,0.1538240033743592,0.1081701131275551,0.22215342519088924,0.7967516385109559,0.0,0.0,0.39589348135178604
2006,NJ_4,109.0,14863.0,0.161,-0.172,0.185,-0.403,53.0,0,0.3251382676525498,0,0.464367816,0.484848485,30133.0,38.3,1297.0,5.5,0.132613779560482,0.09383948164445816,0.22505759986620105,0.8249036157432906,0.0,0.0,0.34474103930465744
2008,NJ_4,110.0,14863.0,0.161,-0.172,0.161,-0.38,55.0,0,0.33569564590926804,0,0.535632184,0.5,32156.0,38.6,1477.0,5.4,0.13147367539500865,0.09128189380827424,0.2060144603874714,0.8248185472614594,0.0,0.0,0.34474103930465744
