"state_name","Location","Incumbent","Inc_party","Inc_first_elected","Candidate","Cand_party","district_num","state_abb","dist_id","Cand_party_abb","is_incumbent","years_in_congress"
"Georgia","Georgia 9","Doug Collins","Republican",2012,"Josh McCall","Democratic","9","GA","GA_9","D",0,0
"Georgia","Georgia 10","Jody Hice","Republican",2014,"Jody Hice","Republican","10","GA","GA_10","R",1,4
"Georgia","Georgia 10","Jody Hice","Republican",2014,"Tabitha Johnson-Green","Democratic","10","GA","GA_10","D",0,0
"Georgia","Georgia 11","Barry Loudermilk","Republican",2014,"Flynn Broady","Democratic","11","GA","GA_11","D",0,0
"Georgia","Georgia 11","Barry Loudermilk","Republican",2014,"Barry Loudermilk","Republican","11","GA","GA_11","R",1,4
"Georgia","Georgia 12","Rick Allen","Republican",2014,"Rick Allen","Republican","12","GA","GA_12","R",1,4
"Georgia","Georgia 12","Rick Allen","Republican",2014,"Francys Johnson","Democratic","12","GA","GA_12","D",0,0
"Georgia","Georgia 13","David Scott","Democratic",2002,"David Callahan","Republican","13","GA","GA_13","R",0,0
"Georgia","Georgia 13","David Scott","Democratic",2002,"David Scott","Democratic","13","GA","GA_13","D",1,16
"Georgia","Georgia 14","Tom Graves","Republican",2010,"Steve Foster","Democratic","14","GA","GA_14","D",0,0
"Georgia","Georgia 14","Tom Graves","Republican",2010,"Tom Graves","Republican","14","GA","GA_14","R",1,8
