congress,year,delsouth,state_fips,contest_uid,inc,king_dist,lewis_dist,state_name,turnout,inc,vote_share,geom_uid
114.0,2014.0,0.0,6.0,114006031,0,,31.0,california,99784.0,0,0.5173374488896015,006113114031
114.0,2014.0,0.0,6.0,114006032,1,,32.0,california,84406.0,1,0.5965571167926451,006113114032
114.0,2014.0,0.0,6.0,114006033,0,,33.0,california,183031.0,0,0.5918724150553731,006113114033
114.0,2014.0,0.0,6.0,114006034,1,,34.0,california,61621.0,1,1.0,006113114034
114.0,2014.0,0.0,6.0,114006035,0,,35.0,california,62255.0,0,1.0,006113114035
114.0,2014.0,0.0,6.0,114006036,1,,36.0,california,134139.0,1,0.5418409262034158,006113114036
114.0,2014.0,0.0,6.0,114006037,1,,37.0,california,114838.0,1,0.8428133544645501,006113114037
114.0,2014.0,0.0,6.0,114006038,1,,38.0,california,98480.0,1,0.5909017059301381,006113114038
114.0,2014.0,0.0,6.0,114006039,-1,,39.0,california,133225.0,-1,0.31455057234002626,006113114039
114.0,2014.0,0.0,6.0,114006040,1,,40.0,california,49379.0,1,1.0,006113114040
114.0,2014.0,0.0,6.0,114006041,1,,41.0,california,82884.0,1,0.5664301915930698,006113114041
114.0,2014.0,0.0,6.0,114006042,-1,,42.0,california,113390.0,-1,0.3426228062439369,006113114042
114.0,2014.0,0.0,6.0,114006043,1,,43.0,california,98202.0,1,0.7095680332376123,006113114043
114.0,2014.0,0.0,6.0,114006044,1,,44.0,california,59670.0,1,1.0,006113114044
114.0,2014.0,0.0,6.0,114006045,0,,45.0,california,162902.0,0,0.3487925255675191,006113114045
114.0,2014.0,0.0,6.0,114006046,1,,46.0,california,83315.0,1,0.5969873372141872,006113114046
114.0,2014.0,0.0,6.0,114006047,1,,47.0,california,123400.0,1,0.5598946515397083,006113114047
114.0,2014.0,0.0,6.0,114006048,-1,,48.0,california,174795.0,-1,0.35878028547727336,006113114048
114.0,2014.0,0.0,6.0,114006049,-1,,49.0,california,163142.0,-1,0.3983094482107612,006113114049
114.0,2014.0,0.0,6.0,114006050,-1,,50.0,california,157299.0,-1,0.287999287980216,006113114050
114.0,2014.0,0.0,6.0,114006051,1,,51.0,california,81950.0,1,0.6878950579621721,006113114051
114.0,2014.0,0.0,6.0,114006052,1,,52.0,california,191572.0,1,0.5158687073267492,006113114052
114.0,2014.0,0.0,6.0,114006053,1,,53.0,california,148044.0,1,0.5883656210315852,006113114053
114.0,2014.0,0.0,8.0,114008001,1,,1.0,colorado,263963.0,1,0.6943435254183351,008113114001
114.0,2014.0,0.0,8.0,114008002,1,,2.0,colorado,345945.0,1,0.5674312390697943,008113114002
114.0,2014.0,0.0,8.0,114008003,-1,,3.0,colorado,263375.0,-1,0.3810688182249644,008113114003
114.0,2014.0,0.0,8.0,114008004,0,,4.0,colorado,269019.0,0,0.3112308052591081,008113114004
