year,dist_id,redistricted
2012,CA_42,True
2012,CA_43,True
2012,CA_44,True
2012,CA_45,True
2012,CA_46,True
2012,CA_47,True
2012,CA_48,True
2012,CA_49,True
2012,CA_5,True
2012,CA_50,True
2012,CA_51,True
2012,CA_52,True
2012,CA_53,True
2012,CA_6,True
2012,CA_7,True
2012,CA_8,True
2012,CA_9,True
2012,CO_1,True
2012,CO_2,True
2012,CO_3,True
2012,CO_4,True
2012,CO_5,True
2012,CO_6,True
2012,CO_7,True
2012,CT_1,True
2012,CT_2,True
2012,CT_3,True
2012,CT_4,True
2012,CT_5,True
2012,FL_1,True
2012,FL_10,True
2012,FL_11,True
2012,FL_12,True
2012,FL_13,True
2012,FL_14,True
2012,FL_15,True
2012,FL_16,True
2012,FL_17,True
2012,FL_18,True
2012,FL_19,True
2012,FL_2,True
2012,FL_20,True
2012,FL_21,True
2012,FL_22,True
2012,FL_23,True
2012,FL_24,True
2012,FL_25,True
2012,FL_26,True
2012,FL_27,True
2012,FL_3,True
2012,FL_4,True
2012,FL_5,True
2012,FL_6,True
2012,FL_7,True
2012,FL_8,True
2012,FL_9,True
2012,GA_1,True
2012,GA_10,True
2012,GA_11,True
2012,GA_12,True
2012,GA_13,True
2012,GA_14,True
2012,GA_2,True
2012,GA_3,True
2012,GA_4,True
2012,GA_5,True
2012,GA_6,True
2012,GA_7,True
2012,GA_8,True
2012,GA_9,True
2012,HI_1,True
2012,HI_2,True
2012,IA_1,True
2012,IA_2,True
2012,IA_3,True
2012,IA_4,True
2012,ID_1,True
2012,ID_2,True
2012,IL_1,True
2012,IL_10,True
2012,IL_11,True
2012,IL_12,True
2012,IL_13,True
2012,IL_14,True
2012,IL_15,True
2012,IL_16,True
2012,IL_17,True
2012,IL_18,True
2012,IL_2,True
2012,IL_3,True
2012,IL_4,True
2012,IL_5,True
2012,IL_6,True
2012,IL_7,True
2012,IL_8,True
2012,IL_9,True
2012,IN_1,True
2012,IN_2,True
2012,IN_3,True
2012,IN_4,True
2012,IN_5,True
2012,IN_6,True
2012,IN_7,True
2012,IN_8,True
2012,IN_9,True
2012,KS_1,True
2012,KS_2,True
2012,KS_3,True
2012,KS_4,True
2012,KY_1,True
2012,KY_2,True
2012,KY_3,True
2012,KY_4,True
2012,KY_5,True
2012,KY_6,True
2012,LA_1,True
2012,LA_2,True
2012,LA_3,True
2012,LA_4,True
2012,LA_5,True
2012,LA_6,True
2012,MA_1,True
2012,MA_2,True
2012,MA_3,True
2012,MA_4,True
2012,MA_5,True
2012,MA_6,True
2012,MA_7,True
2012,MA_8,True
2012,MA_9,True
2012,MD_1,True
2012,MD_2,True
2012,MD_3,True
2012,MD_4,True
2012,MD_5,True
2012,MD_6,True
2012,MD_7,True
2012,MD_8,True
2012,ME_1,True
2012,ME_2,True
2012,MI_1,True
2012,MI_10,True
2012,MI_11,True
2012,MI_12,True
2012,MI_13,True
2012,MI_14,True
2012,MI_2,True
2012,MI_3,True
2012,MI_4,True
2012,MI_5,True
2012,MI_6,True
2012,MI_7,True
2012,MI_8,True
2012,MI_9,True
2012,MN_1,True
2012,MN_2,True
2012,MN_3,True
2012,MN_4,True
2012,MN_5,True
2012,MN_6,True
2012,MN_7,True
2012,MN_8,True
2012,MO_1,True
2012,MO_2,True
2012,MO_3,True
2012,MO_4,True
2012,MO_5,True
2012,MO_6,True
2012,MO_7,True
2012,MO_8,True
2012,MS_1,True
2012,MS_2,True
2012,MS_3,True
2012,MS_4,True
2012,NC_1,True
2012,NC_10,True
2012,NC_11,True
2012,NC_12,True
2012,NC_13,True
2012,NC_2,True
2012,NC_3,True
2012,NC_4,True
2012,NC_5,True
2012,NC_6,True
2012,NC_7,True
2012,NC_8,True
2012,NC_9,True
2012,NE_1,True
2012,NE_2,True
2012,NE_3,True
2012,NH_1,True
2012,NH_2,True
2012,NJ_1,True
2012,NJ_10,True
2012,NJ_11,True
2012,NJ_12,True
2012,NJ_2,True
2012,NJ_3,True
2012,NJ_4,True
2012,NJ_5,True
2012,NJ_6,True
2012,NJ_7,True
2012,NJ_8,True
2012,NJ_9,True
2012,NM_1,True
2012,NM_2,True
2012,NM_3,True
2012,NV_1,True
2012,NV_2,True
2012,NV_3,True
2012,NV_4,True
2012,NY_1,True
2012,NY_10,True
2012,NY_11,True
2012,NY_12,True
2012,NY_13,True
2012,NY_14,True
2012,NY_15,True
