year,district,mortgage_cost
2015,"Congressional District 14 (114th Congress), Michigan",887
2015,"Congressional District 1 (114th Congress), Minnesota",808
2015,"Congressional District 2 (114th Congress), Minnesota",1234
2015,"Congressional District 3 (114th Congress), Minnesota",1277
2015,"Congressional District 4 (114th Congress), Minnesota",1095
2015,"Congressional District 5 (114th Congress), Minnesota",1094
2015,"Congressional District 6 (114th Congress), Minnesota",1150
2015,"Congressional District 7 (114th Congress), Minnesota",740
2015,"Congressional District 8 (114th Congress), Minnesota",814
2015,"Congressional District 1 (114th Congress), Mississippi",679
2015,"Congressional District 2 (114th Congress), Mississippi",654
2015,"Congressional District 3 (114th Congress), Mississippi",683
2015,"Congressional District 4 (114th Congress), Mississippi",694
2015,"Congressional District 1 (114th Congress), Missouri",874
2015,"Congressional District 2 (114th Congress), Missouri",1140
2015,"Congressional District 3 (114th Congress), Missouri",873
2015,"Congressional District 4 (114th Congress), Missouri",747
2015,"Congressional District 5 (114th Congress), Missouri",842
2015,"Congressional District 6 (114th Congress), Missouri",804
2015,"Congressional District 7 (114th Congress), Missouri",714
2015,"Congressional District 8 (114th Congress), Missouri",616
2015,"Congressional District (at Large) (114th Congress), Montana",795
2015,"Congressional District 1 (114th Congress), Nebraska",849
2015,"Congressional District 2 (114th Congress), Nebraska",1044
2015,"Congressional District 3 (114th Congress), Nebraska",665
2015,"Congressional District 1 (114th Congress), Nevada",869
2015,"Congressional District 2 (114th Congress), Nevada",986
2015,"Congressional District 3 (114th Congress), Nevada",1228
2015,"Congressional District 4 (114th Congress), Nevada",1048
2015,"Congressional District 1 (114th Congress), New Hampshire",1301
2015,"Congressional District 2 (114th Congress), New Hampshire",1225
2015,"Congressional District 1 (114th Congress), New Jersey",1351
2015,"Congressional District 2 (114th Congress), New Jersey",1298
2015,"Congressional District 3 (114th Congress), New Jersey",1480
2015,"Congressional District 4 (114th Congress), New Jersey",1583
2015,"Congressional District 5 (114th Congress), New Jersey",1872
2015,"Congressional District 6 (114th Congress), New Jersey",1534
2015,"Congressional District 7 (114th Congress), New Jersey",1882
2015,"Congressional District 8 (114th Congress), New Jersey",1321
2015,"Congressional District 9 (114th Congress), New Jersey",1448
2015,"Congressional District 10 (114th Congress), New Jersey",1254
2015,"Congressional District 11 (114th Congress), New Jersey",1983
2015,"Congressional District 12 (114th Congress), New Jersey",1549
2015,"Congressional District 1 (114th Congress), New Mexico",891
2015,"Congressional District 2 (114th Congress), New Mexico",658
2015,"Congressional District 3 (114th Congress), New Mexico",784
2015,"Congressional District 1 (114th Congress), New York",1955
2015,"Congressional District 2 (114th Congress), New York",1965
2015,"Congressional District 3 (114th Congress), New York",2221
2015,"Congressional District 4 (114th Congress), New York",2041
2015,"Congressional District 5 (114th Congress), New York",1578
2015,"Congressional District 6 (114th Congress), New York",1426
2015,"Congressional District 7 (114th Congress), New York",1339
2015,"Congressional District 8 (114th Congress), New York",1311
2015,"Congressional District 9 (114th Congress), New York",1315
2015,"Congressional District 10 (114th Congress), New York",1747
2015,"Congressional District 11 (114th Congress), New York",1441
2015,"Congressional District 12 (114th Congress), New York",1951
2015,"Congressional District 13 (114th Congress), New York",1137
2015,"Congressional District 14 (114th Congress), New York",1388
2015,"Congressional District 15 (114th Congress), New York",1041
2015,"Congressional District 16 (114th Congress), New York",1451
2015,"Congressional District 17 (114th Congress), New York",1928
2015,"Congressional District 18 (114th Congress), New York",1575
2015,"Congressional District 19 (114th Congress), New York",1050
2015,"Congressional District 20 (114th Congress), New York",1032
2015,"Congressional District 21 (114th Congress), New York",840
2015,"Congressional District 22 (114th Congress), New York",772
2015,"Congressional District 23 (114th Congress), New York",759
2015,"Congressional District 24 (114th Congress), New York",889
2015,"Congressional District 25 (114th Congress), New York",963
2015,"Congressional District 26 (114th Congress), New York",776
2015,"Congressional District 27 (114th Congress), New York",907
2015,"Congressional District 1 (114th Congress), North Carolina",768
2015,"Congressional District 2 (114th Congress), North Carolina",912
2015,"Congressional District 3 (114th Congress), North Carolina",892
2015,"Congressional District 4 (114th Congress), North Carolina",971
2015,"Congressional District 5 (114th Congress), North Carolina",746
2015,"Congressional District 6 (114th Congress), North Carolina",829
2015,"Congressional District 7 (114th Congress), North Carolina",841
2015,"Congressional District 8 (114th Congress), North Carolina",746
2015,"Congressional District 9 (114th Congress), North Carolina",1231
2015,"Congressional District 10 (114th Congress), North Carolina",733
2015,"Congressional District 11 (114th Congress), North Carolina",667
2015,"Congressional District 12 (114th Congress), North Carolina",881
2015,"Congressional District 13 (114th Congress), North Carolina",1082
2015,"Congressional District (at Large) (114th Congress), North Dakota",773
2015,"Congressional District 1 (114th Congress), Ohio",935
2015,"Congressional District 2 (114th Congress), Ohio",875
2015,"Congressional District 3 (114th Congress), Ohio",888
2015,"Congressional District 4 (114th Congress), Ohio",737
2015,"Congressional District 5 (114th Congress), Ohio",800
2015,"Congressional District 6 (114th Congress), Ohio",644
2015,"Congressional District 7 (114th Congress), Ohio",756
2015,"Congressional District 8 (114th Congress), Ohio",827
2015,"Congressional District 9 (114th Congress), Ohio",753
2015,"Congressional District 10 (114th Congress), Ohio",837
2015,"Congressional District 11 (114th Congress), Ohio",756
2015,"Congressional District 12 (114th Congress), Ohio",1077
2015,"Congressional District 13 (114th Congress), Ohio",707
2015,"Congressional District 14 (114th Congress), Ohio",966
2015,"Congressional District 15 (114th Congress), Ohio",940
2015,"Congressional District 16 (114th Congress), Ohio",898
2015,"Congressional District 1 (114th Congress), Oklahoma",869
2015,"Congressional District 2 (114th Congress), Oklahoma",580
2015,"Congressional District 3 (114th Congress), Oklahoma",691
2015,"Congressional District 4 (114th Congress), Oklahoma",789
2015,"Congressional District 5 (114th Congress), Oklahoma",828
2015,"Congressional District 1 (114th Congress), Oregon",1243
2015,"Congressional District 2 (114th Congress), Oregon",866
2015,"Congressional District 3 (114th Congress), Oregon",1199
2015,"Congressional District 4 (114th Congress), Oregon",876
2015,"Congressional District 5 (114th Congress), Oregon",1060
2015,"Congressional District 1 (114th Congress), Pennsylvania",985
2015,"Congressional District 2 (114th Congress), Pennsylvania",920
2015,"Congressional District 3 (114th Congress), Pennsylvania",731
2015,"Congressional District 4 (114th Congress), Pennsylvania",986
2015,"Congressional District 5 (114th Congress), Pennsylvania",691
2015,"Congressional District 6 (114th Congress), Pennsylvania",1320
2015,"Congressional District 7 (114th Congress), Pennsylvania",1427
2015,"Congressional District 8 (114th Congress), Pennsylvania",1450
2015,"Congressional District 9 (114th Congress), Pennsylvania",693
2015,"Congressional District 10 (114th Congress), Pennsylvania",824
2015,"Congressional District 11 (114th Congress), Pennsylvania",846
2015,"Congressional District 12 (114th Congress), Pennsylvania",809
2015,"Congressional District 13 (114th Congress), Pennsylvania",1142
2015,"Congressional District 14 (114th Congress), Pennsylvania",767
2015,"Congressional District 15 (114th Congress), Pennsylvania",1082
2015,"Congressional District 16 (114th Congress), Pennsylvania",997
2015,"Congressional District 17 (114th Congress), Pennsylvania",857
2015,"Congressional District 18 (114th Congress), Pennsylvania",870
2015,"Congressional District 1 (114th Congress), Rhode Island",1088
2015,"Congressional District 2 (114th Congress), Rhode Island",1204
2015,"Congressional District 1 (114th Congress), South Carolina",1137
2015,"Congressional District 2 (114th Congress), South Carolina",878
2015,"Congressional District 3 (114th Congress), South Carolina",673
2015,"Congressional District 4 (114th Congress), South Carolina",813
2015,"Congressional District 5 (114th Congress), South Carolina",765
2015,"Congressional District 6 (114th Congress), South Carolina",727
2015,"Congressional District 7 (114th Congress), South Carolina",737
2015,"Congressional District (at Large) (114th Congress), South Dakota",747
2015,"Congressional District 1 (114th Congress), Tennessee",601
2015,"Congressional District 2 (114th Congress), Tennessee",786
2015,"Congressional District 3 (114th Congress), Tennessee",715
2015,"Congressional District 4 (114th Congress), Tennessee",790
2015,"Congressional District 5 (114th Congress), Tennessee",978
2015,"Congressional District 6 (114th Congress), Tennessee",773
2015,"Congressional District 7 (114th Congress), Tennessee",831
2015,"Congressional District 8 (114th Congress), Tennessee",823
2015,"Congressional District 9 (114th Congress), Tennessee",862
2015,"Congressional District 1 (114th Congress), Texas",745
2015,"Congressional District 2 (114th Congress), Texas",1229
2015,"Congressional District 3 (114th Congress), Texas",1453
2015,"Congressional District 4 (114th Congress), Texas",776
2015,"Congressional District 5 (114th Congress), Texas",850
2015,"Congressional District 6 (114th Congress), Texas",1118
2015,"Congressional District 7 (114th Congress), Texas",1280
2015,"Congressional District 8 (114th Congress), Texas",1066
2015,"Congressional District 9 (114th Congress), Texas",936
2015,"Congressional District 10 (114th Congress), Texas",1193
2015,"Congressional District 11 (114th Congress), Texas",821
2015,"Congressional District 12 (114th Congress), Texas",1070
2015,"Congressional District 13 (114th Congress), Texas",750
2015,"Congressional District 14 (114th Congress), Texas",886
2015,"Congressional District 15 (114th Congress), Texas",675
2015,"Congressional District 16 (114th Congress), Texas",796
2015,"Congressional District 17 (114th Congress), Texas",926
2015,"Congressional District 18 (114th Congress), Texas",897
2015,"Congressional District 19 (114th Congress), Texas",750
2015,"Congressional District 20 (114th Congress), Texas",901
2015,"Congressional District 21 (114th Congress), Texas",1156
2015,"Congressional District 22 (114th Congress), Texas",1450
2015,"Congressional District 23 (114th Congress), Texas",779
2015,"Congressional District 24 (114th Congress), Texas",1175
2015,"Congressional District 25 (114th Congress), Texas",1099
2015,"Congressional District 26 (114th Congress), Texas",1401
2015,"Congressional District 27 (114th Congress), Texas",845
2015,"Congressional District 28 (114th Congress), Texas",767
2015,"Congressional District 29 (114th Congress), Texas",812
2015,"Congressional District 30 (114th Congress), Texas",936
2015,"Congressional District 31 (114th Congress), Texas",1140
2015,"Congressional District 32 (114th Congress), Texas",1221
2015,"Congressional District 33 (114th Congress), Texas",805
2015,"Congressional District 34 (114th Congress), Texas",595
2015,"Congressional District 35 (114th Congress), Texas",942
2015,"Congressional District 36 (114th Congress), Texas",811
2015,"Congressional District 1 (114th Congress), Utah",996
2015,"Congressional District 2 (114th Congress), Utah",948
2015,"Congressional District 3 (114th Congress), Utah",1105
