year,district,black_pop,total_pop,white_pop
2007,"Congressional District 5 (110th Congress), Maryland",261006,746804,408282
2007,"Congressional District 6 (110th Congress), Maryland",47436,728219,642167
2007,"Congressional District 7 (110th Congress), Maryland",387566,665514,226833
2007,"Congressional District 8 (110th Congress), Maryland",122420,699634,412586
2007,"Congressional District 1 (110th Congress), Massachusetts",13354,635581,588659
2007,"Congressional District 2 (110th Congress), Massachusetts",40005,655618,547177
2007,"Congressional District 3 (110th Congress), Massachusetts",19562,650633,576189
2007,"Congressional District 4 (110th Congress), Massachusetts",20072,665799,589131
2007,"Congressional District 5 (110th Congress), Massachusetts",14798,634189,489922
2007,"Congressional District 6 (110th Congress), Massachusetts",17750,653808,591002
2007,"Congressional District 7 (110th Congress), Massachusetts",28655,629820,510737
2007,"Congressional District 8 (110th Congress), Massachusetts",132372,622449,345806
2007,"Congressional District 9 (110th Congress), Massachusetts",85520,668799,511266
2007,"Congressional District 10 (110th Congress), Massachusetts",12527,633059,580532
2007,"Congressional District 1 (110th Congress), Michigan",8810,654064,613075
2007,"Congressional District 2 (110th Congress), Michigan",28925,694299,615107
2007,"Congressional District 3 (110th Congress), Michigan",56800,699351,580048
2007,"Congressional District 4 (110th Congress), Michigan",16428,680420,633664
2007,"Congressional District 5 (110th Congress), Michigan",115250,646991,503978
2007,"Congressional District 6 (110th Congress), Michigan",56499,670459,572956
2007,"Congressional District 7 (110th Congress), Michigan",40255,682817,609928
2007,"Congressional District 8 (110th Congress), Michigan",32328,707179,629254
2007,"Congressional District 9 (110th Congress), Michigan",67742,664514,526552
2007,"Congressional District 10 (110th Congress), Michigan",16485,728305,678749
2007,"Congressional District 11 (110th Congress), Michigan",52472,719317,609302
2007,"Congressional District 12 (110th Congress), Michigan",112411,627068,477900
2007,"Congressional District 13 (110th Congress), Michigan",341056,578248,185934
2007,"Congressional District 14 (110th Congress), Michigan",373250,605242,211017
2007,"Congressional District 15 (110th Congress), Michigan",97924,713548,554209
2007,"Congressional District 1 (110th Congress), Minnesota",8046,631129,594956
2007,"Congressional District 2 (110th Congress), Minnesota",19197,718904,648987
2007,"Congressional District 3 (110th Congress), Minnesota",49002,664769,553342
2007,"Congressional District 4 (110th Congress), Minnesota",50552,604862,467861
2007,"Congressional District 5 (110th Congress), Minnesota",79048,583679,434447
2007,"Congressional District 6 (110th Congress), Minnesota",11168,733283,683833
2007,"Congressional District 7 (110th Congress), Minnesota",3764,614198,575859
2007,"Congressional District 8 (110th Congress), Minnesota",5021,646797,611201
2007,"Congressional District 1 (110th Congress), Mississippi",214573,768077,539592
2007,"Congressional District 2 (110th Congress), Mississippi",456536,687144,217253
2007,"Congressional District 3 (110th Congress), Mississippi",253261,737886,463390
2007,"Congressional District 4 (110th Congress), Mississippi",170681,725678,524895
2007,"Congressional District 1 (110th Congress), Missouri",323175,592529,239987
2007,"Congressional District 2 (110th Congress), Missouri",16802,690565,637236
2007,"Congressional District 3 (110th Congress), Missouri",62944,652190,562042
2007,"Congressional District 4 (110th Congress), Missouri",19948,658617,609338
2007,"Congressional District 5 (110th Congress), Missouri",152023,624172,427313
2007,"Congressional District 6 (110th Congress), Missouri",20253,673803,620206
2007,"Congressional District 7 (110th Congress), Missouri",10621,694428,643698
2007,"Congressional District 8 (110th Congress), Missouri",31139,632732,582835
2007,"Congressional District 9 (110th Congress), Missouri",27117,659379,607852
2007,"Congressional District (at Large) (110th Congress), Montana",5961,957861,858205
2007,"Congressional District 1 (110th Congress), Nebraska",8816,601908,558052
2007,"Congressional District 2 (110th Congress), Nebraska",58890,618134,502475
2007,"Congressional District 3 (110th Congress), Nebraska",2627,554529,521586
2007,"Congressional District 1 (110th Congress), Nevada",108267,802774,523356
2007,"Congressional District 2 (110th Congress), Nevada",19557,803060,657016
2007,"Congressional District 3 (110th Congress), Nevada",62414,959548,716786
