year,district,unemp_rate
2017,"Congressional District 3 (115th Congress), Ohio",5.9
2017,"Congressional District 4 (115th Congress), Ohio",4.9
2017,"Congressional District 5 (115th Congress), Ohio",3.9
2017,"Congressional District 6 (115th Congress), Ohio",5.1
2017,"Congressional District 7 (115th Congress), Ohio",4.8
2017,"Congressional District 8 (115th Congress), Ohio",4.6
2017,"Congressional District 9 (115th Congress), Ohio",8.1
2017,"Congressional District 10 (115th Congress), Ohio",6.1
2017,"Congressional District 11 (115th Congress), Ohio",9.8
2017,"Congressional District 12 (115th Congress), Ohio",3.1
2017,"Congressional District 13 (115th Congress), Ohio",6.6
2017,"Congressional District 14 (115th Congress), Ohio",3.8
2017,"Congressional District 15 (115th Congress), Ohio",3.9
2017,"Congressional District 16 (115th Congress), Ohio",3.9
2017,"Congressional District 1 (115th Congress), Oklahoma",5.7
2017,"Congressional District 2 (115th Congress), Oklahoma",6.7
2017,"Congressional District 3 (115th Congress), Oklahoma",4.5
2017,"Congressional District 4 (115th Congress), Oklahoma",4.9
2017,"Congressional District 5 (115th Congress), Oklahoma",5.1
2017,"Congressional District 1 (115th Congress), Oregon",4.5
2017,"Congressional District 2 (115th Congress), Oregon",5.7
2017,"Congressional District 3 (115th Congress), Oregon",4.7
2017,"Congressional District 4 (115th Congress), Oregon",6.6
2017,"Congressional District 5 (115th Congress), Oregon",4.3
2017,"Congressional District 1 (115th Congress), Pennsylvania",8.9
2017,"Congressional District 2 (115th Congress), Pennsylvania",8.3
2017,"Congressional District 3 (115th Congress), Pennsylvania",5.7
2017,"Congressional District 4 (115th Congress), Pennsylvania",4.6
2017,"Congressional District 5 (115th Congress), Pennsylvania",5.6
2017,"Congressional District 6 (115th Congress), Pennsylvania",4.6
2017,"Congressional District 7 (115th Congress), Pennsylvania",3.8
2017,"Congressional District 8 (115th Congress), Pennsylvania",3.7
2017,"Congressional District 9 (115th Congress), Pennsylvania",5.6
2017,"Congressional District 10 (115th Congress), Pennsylvania",4.4
2017,"Congressional District 11 (115th Congress), Pennsylvania",4.2
2017,"Congressional District 12 (115th Congress), Pennsylvania",4.9
2017,"Congressional District 13 (115th Congress), Pennsylvania",6.3
2017,"Congressional District 14 (115th Congress), Pennsylvania",6.0
2017,"Congressional District 15 (115th Congress), Pennsylvania",5.2
2017,"Congressional District 16 (115th Congress), Pennsylvania",4.8
2017,"Congressional District 17 (115th Congress), Pennsylvania",5.8
2017,"Congressional District 18 (115th Congress), Pennsylvania",3.7
2017,"Congressional District 1 (115th Congress), Rhode Island",5.7
2017,"Congressional District 2 (115th Congress), Rhode Island",5.8
2017,"Congressional District 1 (115th Congress), South Carolina",4.0
2017,"Congressional District 2 (115th Congress), South Carolina",5.8
2017,"Congressional District 3 (115th Congress), South Carolina",5.4
2017,"Congressional District 4 (115th Congress), South Carolina",4.5
2017,"Congressional District 5 (115th Congress), South Carolina",6.5
2017,"Congressional District 6 (115th Congress), South Carolina",7.4
2017,"Congressional District 7 (115th Congress), South Carolina",7.4
2017,"Congressional District (at Large) (115th Congress), South Dakota",3.5
2017,"Congressional District 1 (115th Congress), Tennessee",5.5
2017,"Congressional District 2 (115th Congress), Tennessee",4.5
2017,"Congressional District 3 (115th Congress), Tennessee",4.8
2017,"Congressional District 4 (115th Congress), Tennessee",4.2
2017,"Congressional District 5 (115th Congress), Tennessee",4.0
2017,"Congressional District 6 (115th Congress), Tennessee",4.2
2017,"Congressional District 7 (115th Congress), Tennessee",4.8
2017,"Congressional District 8 (115th Congress), Tennessee",4.7
2017,"Congressional District 9 (115th Congress), Tennessee",8.2
2017,"Congressional District 1 (115th Congress), Texas",6.1
2017,"Congressional District 2 (115th Congress), Texas",4.2
2017,"Congressional District 3 (115th Congress), Texas",3.6
2017,"Congressional District 4 (115th Congress), Texas",4.9
2017,"Congressional District 5 (115th Congress), Texas",4.7
2017,"Congressional District 6 (115th Congress), Texas",3.9
2017,"Congressional District 7 (115th Congress), Texas",5.2
2017,"Congressional District 8 (115th Congress), Texas",5.1
2017,"Congressional District 9 (115th Congress), Texas",6.7
2017,"Congressional District 10 (115th Congress), Texas",4.4
2017,"Congressional District 11 (115th Congress), Texas",4.2
2017,"Congressional District 12 (115th Congress), Texas",4.6
2017,"Congressional District 13 (115th Congress), Texas",4.3
2017,"Congressional District 14 (115th Congress), Texas",5.3
2017,"Congressional District 15 (115th Congress), Texas",6.1
2017,"Congressional District 16 (115th Congress), Texas",6.3
2017,"Congressional District 17 (115th Congress), Texas",4.5
2017,"Congressional District 18 (115th Congress), Texas",7.1
2017,"Congressional District 19 (115th Congress), Texas",4.9
2017,"Congressional District 20 (115th Congress), Texas",5.7
2017,"Congressional District 21 (115th Congress), Texas",3.4
2017,"Congressional District 22 (115th Congress), Texas",5.8
2017,"Congressional District 23 (115th Congress), Texas",5.3
2017,"Congressional District 24 (115th Congress), Texas",3.8
2017,"Congressional District 25 (115th Congress), Texas",4.3
2017,"Congressional District 26 (115th Congress), Texas",3.9
2017,"Congressional District 27 (115th Congress), Texas",5.2
2017,"Congressional District 28 (115th Congress), Texas",6.5
2017,"Congressional District 29 (115th Congress), Texas",7.3
2017,"Congressional District 30 (115th Congress), Texas",6.0
2017,"Congressional District 31 (115th Congress), Texas",4.5
