year,district,bach_deg_num,median_HH_income,high_school_num
2012,"Congressional District 18 (113th Congress), New York",91487,32363,126096
2012,"Congressional District 19 (113th Congress), New York",71528,26667,160838
2012,"Congressional District 20 (113th Congress), New York",93865,30415,131990
2012,"Congressional District 21 (113th Congress), New York",62188,25946,178732
2012,"Congressional District 22 (113th Congress), New York",66587,24254,163594
2012,"Congressional District 23 (113th Congress), New York",57224,23325,160345
2012,"Congressional District 24 (113th Congress), New York",78232,26754,148719
2012,"Congressional District 25 (113th Congress), New York",93058,27045,123448
2012,"Congressional District 26 (113th Congress), New York",77693,24723,137353
2012,"Congressional District 27 (113th Congress), New York",81976,29427,161475
2012,"Congressional District 1 (113th Congress), North Carolina",56547,18972,145024
2012,"Congressional District 2 (113th Congress), North Carolina",88915,26193,134093
2012,"Congressional District 3 (113th Congress), North Carolina",70153,23099,135688
2012,"Congressional District 4 (113th Congress), North Carolina",110600,26728,94141
2012,"Congressional District 5 (113th Congress), North Carolina",85532,22545,140647
2012,"Congressional District 6 (113th Congress), North Carolina",94203,25317,150346
2012,"Congressional District 7 (113th Congress), North Carolina",81449,24064,143625
2012,"Congressional District 8 (113th Congress), North Carolina",54883,21510,160582
2012,"Congressional District 9 (113th Congress), North Carolina",162014,33901,95494
2012,"Congressional District 10 (113th Congress), North Carolina",75614,21777,149351
2012,"Congressional District 11 (113th Congress), North Carolina",72174,21227,162050
2012,"Congressional District 12 (113th Congress), North Carolina",84483,20771,134165
2012,"Congressional District 13 (113th Congress), North Carolina",133489,30939,115498
2012,"Congressional District (at Large) (113th Congress), North Dakota",89629,29326,128310
2012,"Congressional District 1 (113th Congress), Ohio",92567,25998,141890
2012,"Congressional District 2 (113th Congress), Ohio",83999,25325,162877
2012,"Congressional District 3 (113th Congress), Ohio",80773,23667,139527
2012,"Congressional District 4 (113th Congress), Ohio",47357,23830,205066
2012,"Congressional District 5 (113th Congress), Ohio",71463,25883,183074
2012,"Congressional District 6 (113th Congress), Ohio",51895,21588,222912
2012,"Congressional District 7 (113th Congress), Ohio",60272,23812,200706
2012,"Congressional District 8 (113th Congress), Ohio",72693,24825,179864
2012,"Congressional District 9 (113th Congress), Ohio",64926,21800,158385
2012,"Congressional District 10 (113th Congress), Ohio",76077,24252,140397
2012,"Congressional District 11 (113th Congress), Ohio",68444,20236,132730
2012,"Congressional District 12 (113th Congress), Ohio",117415,31067,136453
2012,"Congressional District 13 (113th Congress), Ohio",66341,21935,204029
2012,"Congressional District 14 (113th Congress), Ohio",99145,28945,156854
2012,"Congressional District 15 (113th Congress), Ohio",87839,26387,159733
2012,"Congressional District 16 (113th Congress), Ohio",99541,30026,162900
2012,"Congressional District 1 (113th Congress), Oklahoma",96537,25892,138310
2012,"Congressional District 2 (113th Congress), Oklahoma",56671,20046,182139
2012,"Congressional District 3 (113th Congress), Oklahoma",69914,23488,173222
2012,"Congressional District 4 (113th Congress), Oklahoma",75425,24562,159597
2012,"Congressional District 5 (113th Congress), Oklahoma",95383,23931,133007
2012,"Congressional District 1 (113th Congress), Oregon",126434,29603,115055
2012,"Congressional District 2 (113th Congress), Oregon",73739,21839,157072
2012,"Congressional District 3 (113th Congress), Oregon",123011,26694,112971
2012,"Congressional District 4 (113th Congress), Oregon",78158,20104,152676
2012,"Congressional District 5 (113th Congress), Oregon",95788,25351,132405
2012,"Congressional District 1 (113th Congress), Pennsylvania",63116,21149,162903
2012,"Congressional District 2 (113th Congress), Pennsylvania",76860,21075,125395
2012,"Congressional District 3 (113th Congress), Pennsylvania",73447,22778,203055
2012,"Congressional District 4 (113th Congress), Pennsylvania",74805,27738,190121
2012,"Congressional District 5 (113th Congress), Pennsylvania",62371,22000,208360
2012,"Congressional District 6 (113th Congress), Pennsylvania",124346,32994,147457
2012,"Congressional District 7 (113th Congress), Pennsylvania",116984,34644,143255
2012,"Congressional District 8 (113th Congress), Pennsylvania",112720,33712,157907
2012,"Congressional District 9 (113th Congress), Pennsylvania",53452,22401,234482
2012,"Congressional District 10 (113th Congress), Pennsylvania",61212,23403,214635
2012,"Congressional District 11 (113th Congress), Pennsylvania",67819,25515,201835
2012,"Congressional District 12 (113th Congress), Pennsylvania",93736,27452,182152
2012,"Congressional District 13 (113th Congress), Pennsylvania",95201,27552,162233
2012,"Congressional District 14 (113th Congress), Pennsylvania",86720,24050,164192
2012,"Congressional District 15 (113th Congress), Pennsylvania",78740,26463,172114
2012,"Congressional District 16 (113th Congress), Pennsylvania",73529,25858,169881
2012,"Congressional District 17 (113th Congress), Pennsylvania",59816,23493,204041
2012,"Congressional District 18 (113th Congress), Pennsylvania",109431,28754,176859
2012,"Congressional District 1 (113th Congress), Rhode Island",65231,25678,97426
2012,"Congressional District 2 (113th Congress), Rhode Island",67672,28156,101113
2012,"Congressional District 1 (113th Congress), South Carolina",108695,28057,112522
2012,"Congressional District 2 (113th Congress), South Carolina",90556,27494,120873
