year,district,bach_deg_num,high_school_num,median_HH_income
2017,"Congressional District 14 (115th Congress), Ohio",110455,146469,32477
2017,"Congressional District 15 (115th Congress), Ohio",102190,171473,32628
2017,"Congressional District 16 (115th Congress), Ohio",110111,149330,32946
2017,"Congressional District 1 (115th Congress), Oklahoma",108074,140809,29193
2017,"Congressional District 2 (115th Congress), Oklahoma",56241,190251,21998
2017,"Congressional District 3 (115th Congress), Oklahoma",77390,169368,25671
2017,"Congressional District 4 (115th Congress), Oklahoma",88300,162593,27162
2017,"Congressional District 5 (115th Congress), Oklahoma",107238,141224,27802
2017,"Congressional District 1 (115th Congress), Oregon",156260,109882,35749
2017,"Congressional District 2 (115th Congress), Oregon",92917,161832,26504
2017,"Congressional District 3 (115th Congress), Oregon",154584,119606,31676
2017,"Congressional District 4 (115th Congress), Oregon",91228,144456,24460
2017,"Congressional District 5 (115th Congress), Oregon",114171,138034,31048
2017,"Congressional District 1 (115th Congress), Pennsylvania",80574,173765,26854
2017,"Congressional District 2 (115th Congress), Pennsylvania",91094,150300,25984
2017,"Congressional District 3 (115th Congress), Pennsylvania",85961,194130,26547
2017,"Congressional District 4 (115th Congress), Pennsylvania",88479,184322,31644
2017,"Congressional District 5 (115th Congress), Pennsylvania",74424,203473,24807
2017,"Congressional District 6 (115th Congress), Pennsylvania",134387,140423,37809
2017,"Congressional District 7 (115th Congress), Pennsylvania",130577,131213,40437
2017,"Congressional District 8 (115th Congress), Pennsylvania",121419,145390,39341
2017,"Congressional District 9 (115th Congress), Pennsylvania",63731,215649,25727
2017,"Congressional District 10 (115th Congress), Pennsylvania",69268,203702,26352
2017,"Congressional District 11 (115th Congress), Pennsylvania",76549,202239,29953
2017,"Congressional District 12 (115th Congress), Pennsylvania",98221,177878,32097
2017,"Congressional District 13 (115th Congress), Pennsylvania",112547,165191,32509
2017,"Congressional District 14 (115th Congress), Pennsylvania",100209,150209,27350
2017,"Congressional District 15 (115th Congress), Pennsylvania",88858,175183,30492
2017,"Congressional District 16 (115th Congress), Pennsylvania",82346,167687,28713
2017,"Congressional District 17 (115th Congress), Pennsylvania",74067,195539,27098
2017,"Congressional District 18 (115th Congress), Pennsylvania",124686,158204,33111
2017,"Congressional District 1 (115th Congress), Rhode Island",74343,111916,28875
2017,"Congressional District 2 (115th Congress), Rhode Island",75356,108697,32026
2017,"Congressional District 1 (115th Congress), South Carolina",135941,131118,33234
2017,"Congressional District 2 (115th Congress), South Carolina",104275,133997,30163
2017,"Congressional District 3 (115th Congress), South Carolina",63939,147415,23811
2017,"Congressional District 4 (115th Congress), South Carolina",96373,124548,27000
2017,"Congressional District 5 (115th Congress), South Carolina",81465,151048,26753
2017,"Congressional District 6 (115th Congress), South Carolina",52283,152066,20849
2017,"Congressional District 7 (115th Congress), South Carolina",72748,175880,22440
2017,"Congressional District (at Large) (115th Congress), South Dakota",109803,176709,30245
2017,"Congressional District 1 (115th Congress), Tennessee",64326,187076,21990
2017,"Congressional District 2 (115th Congress), Tennessee",96597,154183,27286
2017,"Congressional District 3 (115th Congress), Tennessee",81719,180708,25246
2017,"Congressional District 4 (115th Congress), Tennessee",87645,175668,27787
2017,"Congressional District 5 (115th Congress), Tennessee",134829,130526,31116
2017,"Congressional District 6 (115th Congress), Tennessee",79436,195076,26530
2017,"Congressional District 7 (115th Congress), Tennessee",96608,167520,28774
2017,"Congressional District 8 (115th Congress), Tennessee",84048,155311,29069
2017,"Congressional District 9 (115th Congress), Tennessee",65632,142012,24269
2017,"Congressional District 1 (115th Congress), Texas",67293,129922,24236
2017,"Congressional District 2 (115th Congress), Texas",140583,97199,36842
2017,"Congressional District 3 (115th Congress), Texas",196693,77784,45710
2017,"Congressional District 4 (115th Congress), Texas",77246,158426,27619
2017,"Congressional District 5 (115th Congress), Texas",62625,151694,27143
2017,"Congressional District 6 (115th Congress), Texas",97093,123329,32471
2017,"Congressional District 7 (115th Congress), Texas",150044,80753,39177
2017,"Congressional District 8 (115th Congress), Texas",117313,153905,32519
2017,"Congressional District 9 (115th Congress), Texas",83395,131068,26427
2017,"Congressional District 10 (115th Congress), Texas",147913,127834,37893
2017,"Congressional District 11 (115th Congress), Texas",71280,157751,28788
2017,"Congressional District 12 (115th Congress), Texas",115879,132782,32938
