,district,party,votes,year
698,OH-05,,7184,2018
699,OH-06,GOP,169668,2018
700,OH-06,Dem,75196,2018
701,OH-07,GOP,150317,2018
702,OH-07,Dem,105105,2018
703,OH-08,GOP,170561,2018
704,OH-08,Dem,84738,2018
705,OH-09,Dem,152682,2018
706,OH-09,GOP,73183,2018
707,OH-10,GOP,153640,2018
708,OH-10,Dem,114699,2018
709,OH-10,,5140,2018
710,OH-11,Dem,197147,2018
711,OH-11,GOP,43443,2018
712,OH-12,GOP,171757,2018
713,OH-12,Dem,156863,2018
714,OH-12,,4510,2018
715,OH-13,Dem,149271,2018
716,OH-13,GOP,96225,2018
717,OH-14,GOP,166483,2018
718,OH-14,Dem,134059,2018
719,OH-15,GOP,166632,2018
720,OH-15,Dem,112546,2018
721,OH-15,,5477,2018
722,OH-16,GOP,166933,2018
723,OH-16,Dem,126736,2018
724,OK-01,GOP,149938,2018
725,OK-01,Dem,102878,2018
726,OK-02,GOP,140305,2018
727,OK-02,Dem,64958,2018
728,OK-02,,10519,2018
729,OK-03,GOP,172757,2018
730,OK-03,Dem,61095,2018
731,OK-04,GOP,149127,2018
732,OK-04,Dem,78022,2018
733,OK-04,,9310,2018
734,OK-05,Dem,121013,2018
735,OK-05,GOP,117725,2018
736,OR-01,Dem,184293,2018
737,OR-01,GOP,94784,2018
738,OR-01,,10906,2018
739,OR-02,GOP,203216,2018
740,OR-02,Dem,140954,2018
741,OR-02,,15073,2018
742,OR-03,Dem,244154,2018
743,OR-03,GOP,68105,2018
744,OR-03,,17200,2018
745,OR-03,,5969,2018
746,OR-04,Dem,204046,2018
747,OR-04,GOP,149616,2018
748,OR-04,,10899,2018
749,OR-05,Dem,176469,2018
750,OR-05,GOP,134720,2018
751,OR-05,,9134,2018
752,PA-01,GOP,168841,2018
753,PA-01,Dem,160098,2018
754,PA-02,Dem,154771,2018
755,PA-02,GOP,41472,2018
756,PA-03,Dem,275418,2018
757,PA-03,GOP,19550,2018
758,PA-04,Dem,210216,2018
759,PA-04,GOP,121117,2018
760,PA-05,Dem,189957,2018
761,PA-05,GOP,101861,2018
762,PA-06,Dem,175516,2018
763,PA-06,GOP,122896,2018
764,PA-07,Dem,137122,2018
765,PA-07,GOP,111862,2018
766,PA-07,,7899,2018
767,PA-08,Dem,134519,2018
768,PA-08,GOP,111640,2018
769,PA-09,GOP,146675,2018
770,PA-09,Dem,98232,2018
771,PA-10,GOP,148790,2018
772,PA-10,Dem,140956,2018
773,PA-11,GOP,162227,2018
774,PA-11,Dem,112605,2018
775,PA-12,GOP,159251,2018
776,PA-12,Dem,81390,2018
777,PA-13,GOP,175046,2018
778,PA-13,Dem,73494,2018
779,PA-14,GOP,149147,2018
780,PA-14,Dem,108179,2018
781,PA-15,GOP,161990,2018
782,PA-15,Dem,76502,2018
783,PA-16,GOP,130580,2018
784,PA-16,Dem,119412,2018
785,PA-16,,2877,2018
786,PA-17,Dem,176293,2018
787,PA-17,GOP,137906,2018
788,RI-01,Dem,114604,2018
789,RI-01,GOP,57115,2018
790,RI-02,Dem,125090,2018
791,RI-02,GOP,71716,2018
792,SC-01,Dem,144828,2018
