year,district,mortgage_cost,median_age,bach_deg_num,median_HH_income,high_school_num,unemp_rate
2009,"Congressional District 3 (111th Congress), Georgia",998,36.7,81824.0,27209.0,160400.0,10.5
2009,"Congressional District 4 (111th Congress), Georgia",1054,33.2,83557.0,24014.0,114984.0,15.7
2009,"Congressional District 5 (111th Congress), Georgia",1112,34.1,137626.0,26605.0,107701.0,12.9
2009,"Congressional District 6 (111th Congress), Georgia",1427,36.1,166304.0,37510.0,78396.0,7.9
2009,"Congressional District 7 (111th Congress), Georgia",1265,34.3,126541.0,28343.0,142572.0,10.4
2009,"Congressional District 8 (111th Congress), Georgia",739,35.8,52628.0,21918.0,157036.0,9.3
2009,"Congressional District 9 (111th Congress), Georgia",849,36.5,73340.0,23470.0,160814.0,10.4
2009,"Congressional District 10 (111th Congress), Georgia",771,34.8,66442.0,20963.0,135069.0,10.0
2009,"Congressional District 11 (111th Congress), Georgia",976,34.3,88042.0,25380.0,155105.0,10.6
2009,"Congressional District 12 (111th Congress), Georgia",684,32.8,43817.0,19097.0,157473.0,10.1
2009,"Congressional District 13 (111th Congress), Georgia",1048,32.7,88681.0,26544.0,148744.0,14.1
2009,"Congressional District 1 (111th Congress), Hawaii",1459,38.8,97038.0,30630.0,122269.0,5.2
2009,"Congressional District 2 (111th Congress), Hawaii",1432,36.8,76236.0,27768.0,132629.0,9.0
2009,"Congressional District 1 (111th Congress), Idaho",904,35.8,85231.0,21849.0,159955.0,10.6
2009,"Congressional District 2 (111th Congress), Idaho",772,32.3,72490.0,20989.0,118071.0,8.5
2009,"Congressional District 1 (111th Congress), Illinois",946,35.3,44809.0,21768.0,117451.0,18.3
2009,"Congressional District 2 (111th Congress), Illinois",988,34.8,48521.0,22464.0,114070.0,19.0
2009,"Congressional District 3 (111th Congress), Illinois",1113,35.0,64840.0,27544.0,127001.0,11.2
2009,"Congressional District 4 (111th Congress), Illinois",1025,29.9,61968.0,21171.0,91355.0,12.8
2009,"Congressional District 5 (111th Congress), Illinois",1185,33.8,120184.0,31259.0,102898.0,9.7
2009,"Congressional District 6 (111th Congress), Illinois",1445,36.9,107172.0,32487.0,99660.0,9.4
2009,"Congressional District 7 (111th Congress), Illinois",1250,33.9,93354.0,28042.0,88886.0,13.6
2009,"Congressional District 8 (111th Congress), Illinois",1491,36.5,107456.0,32733.0,117303.0,9.5
2009,"Congressional District 9 (111th Congress), Illinois",1136,38.4,116541.0,27881.0,88717.0,8.5
2009,"Congressional District 10 (111th Congress), Illinois",1615,39.5,125800.0,34618.0,77312.0,8.1
2009,"Congressional District 11 (111th Congress), Illinois",1020,35.6,72235.0,26226.0,165403.0,10.8
2009,"Congressional District 12 (111th Congress), Illinois",719,37.1,55291.0,22697.0,137978.0,10.4
2009,"Congressional District 13 (111th Congress), Illinois",1632,37.2,137431.0,36480.0,98065.0,9.8
2009,"Congressional District 14 (111th Congress), Illinois",1384,33.8,104730.0,28454.0,129094.0,9.6
2009,"Congressional District 15 (111th Congress), Illinois",733,35.9,67456.0,22343.0,136542.0,8.6
2009,"Congressional District 16 (111th Congress), Illinois",977,38.6,80294.0,25850.0,156315.0,11.5
2009,"Congressional District 17 (111th Congress), Illinois",656,39.4,50438.0,21757.0,151056.0,8.9
2009,"Congressional District 18 (111th Congress), Illinois",748,39.8,72548.0,26313.0,149007.0,7.0
2009,"Congressional District 19 (111th Congress), Illinois",694,40.6,62821.0,24490.0,154420.0,8.0
2009,"Congressional District 1 (111th Congress), Indiana",898,37.5,57106.0,24031.0,172212.0,12.0
2009,"Congressional District 2 (111th Congress), Indiana",760,36.9,55736.0,22691.0,164749.0,12.2
2009,"Congressional District 3 (111th Congress), Indiana",768,35.9,65833.0,23903.0,163729.0,13.5
2009,"Congressional District 4 (111th Congress), Indiana",906,35.8,86467.0,25566.0,173347.0,8.8
2009,"Congressional District 5 (111th Congress), Indiana",967,37.6,122608.0,29314.0,150084.0,8.4
2009,"Congressional District 6 (111th Congress), Indiana",703,38.7,46370.0,21672.0,182361.0,12.3
2009,"Congressional District 7 (111th Congress), Indiana",793,32.5,67859.0,21630.0,130288.0,15.2
2009,"Congressional District 8 (111th Congress), Indiana",698,38.9,52937.0,22387.0,170614.0,7.3
2009,"Congressional District 9 (111th Congress), Indiana",755,37.1,51581.0,23232.0,180200.0,9.8
2009,"Congressional District 1 (111th Congress), Iowa",729,38.1,67470.0,24694.0,134854.0,5.8
2009,"Congressional District 2 (111th Congress), Iowa",743,36.9,75907.0,24467.0,121128.0,6.8
2009,"Congressional District 3 (111th Congress), Iowa",845,36.6,87736.0,27732.0,127599.0,6.0
2009,"Congressional District 4 (111th Congress), Iowa",675,38.5,66391.0,23886.0,127476.0,5.8
2009,"Congressional District 5 (111th Congress), Iowa",624,40.4,52741.0,23188.0,142904.0,5.3
2009,"Congressional District 1 (111th Congress), Kansas",600,38.5,54141.0,22408.0,137841.0,5.0
2009,"Congressional District 2 (111th Congress), Kansas",732,36.1,75739.0,23466.0,139253.0,7.2
2009,"Congressional District 3 (111th Congress), Kansas",1075,34.4,139163.0,29215.0,103452.0,7.9
2009,"Congressional District 4 (111th Congress), Kansas",747,35.5,79231.0,25249.0,136454.0,8.6
2009,"Congressional District 1 (111th Congress), Kentucky",561,39.3,38952.0,19426.0,178508.0,10.8
2009,"Congressional District 2 (111th Congress), Kentucky",686,37.6,47968.0,21915.0,189935.0,10.3
2009,"Congressional District 3 (111th Congress), Kentucky",810,37.3,89139.0,25220.0,136764.0,10.3
2009,"Congressional District 4 (111th Congress), Kentucky",786,37.9,71318.0,23713.0,166316.0,9.2
2009,"Congressional District 5 (111th Congress), Kentucky",426,38.5,26854.0,14909.0,166452.0,11.8
2009,"Congressional District 6 (111th Congress), Kentucky",743,35.7,84456.0,22456.0,143995.0,8.9
2009,"Congressional District 1 (111th Congress), Louisiana",881,38.9,91961.0,25558.0,136800.0,7.4
2009,"Congressional District 2 (111th Congress), Louisiana",902,35.3,45006.0,19767.0,106699.0,12.7
2009,"Congressional District 3 (111th Congress), Louisiana",647,35.6,39959.0,23223.0,164623.0,6.9
2009,"Congressional District 4 (111th Congress), Louisiana",646,35.7,52959.0,22166.0,155957.0,8.9
2009,"Congressional District 5 (111th Congress), Louisiana",537,35.7,48558.0,19406.0,144290.0,9.8
2009,"Congressional District 6 (111th Congress), Louisiana",789,33.1,77509.0,23709.0,136580.0,6.9
2009,"Congressional District 7 (111th Congress), Louisiana",610,34.9,63364.0,21721.0,149450.0,7.3
2009,"Congressional District 1 (111th Congress), Maine",1027,42.2,97998.0,25524.0,145620.0,6.6
2009,"Congressional District 2 (111th Congress), Maine",707,42.2,62082.0,20263.0,171624.0,7.8
2009,"Congressional District 1 (111th Congress), Maryland",1283,41.3,88975.0,31205.0,145530.0,7.8
2009,"Congressional District 2 (111th Congress), Maryland",1173,35.5,71434.0,30637.0,152743.0,9.2
2009,"Congressional District 3 (111th Congress), Maryland",1409,36.8,116368.0,35238.0,117441.0,7.3
2009,"Congressional District 4 (111th Congress), Maryland",1664,35.8,86560.0,36171.0,111598.0,10.5
2009,"Congressional District 5 (111th Congress), Maryland",1720,36.8,94981.0,38206.0,140355.0,7.3
2009,"Congressional District 6 (111th Congress), Maryland",1212,39.7,87532.0,30410.0,160108.0,6.9
2009,"Congressional District 7 (111th Congress), Maryland",1118,37.3,80048.0,27393.0,113284.0,9.4
2009,"Congressional District 8 (111th Congress), Maryland",1730,38.3,122479.0,39986.0,72806.0,6.2
2009,"Congressional District 1 (111th Congress), Massachusetts",975,40.5,74132.0,24868.0,139343.0,9.7
2009,"Congressional District 2 (111th Congress), Massachusetts",1058,39.6,70753.0,26903.0,137930.0,9.6
2009,"Congressional District 3 (111th Congress), Massachusetts",1240,39.0,98166.0,29255.0,113321.0,10.1
2009,"Congressional District 4 (111th Congress), Massachusetts",1410,39.4,86369.0,31315.0,110427.0,9.1
2009,"Congressional District 5 (111th Congress), Massachusetts",1432,39.2,90307.0,31264.0,108057.0,7.7
2009,"Congressional District 6 (111th Congress), Massachusetts",1451,41.6,110876.0,33389.0,119122.0,8.1
2009,"Congressional District 7 (111th Congress), Massachusetts",1483,38.8,108237.0,32819.0,112295.0,7.8
2009,"Congressional District 8 (111th Congress), Massachusetts",1380,31.1,117842.0,27367.0,94518.0,10.8
2009,"Congressional District 9 (111th Congress), Massachusetts",1472,38.9,109696.0,33974.0,123220.0,8.7
2009,"Congressional District 10 (111th Congress), Massachusetts",1378,44.4,114380.0,31571.0,122862.0,8.7
