year,district,black_pop,total_pop,white_pop,mortgage_cost,median_age,bach_deg_num,high_school_num,median_HH_income,unemp_rate
2015,"Congressional District 4 (114th Congress), Georgia",443473,746519,228597,1038,35.5,93183.0,123227.0,26387.0,8.9
2015,"Congressional District 5 (114th Congress), Georgia",425941,736978,245099,1016,33.7,114378.0,111120.0,27168.0,8.2
2015,"Congressional District 6 (114th Congress), Georgia",95974,729643,509164,1340,37.6,179034.0,64943.0,41170.0,5.2
2015,"Congressional District 7 (114th Congress), Georgia",165573,804318,457857,1222,35.1,135792.0,110767.0,31464.0,5.8
2015,"Congressional District 8 (114th Congress), Georgia",209404,702584,451572,756,36.8,52899.0,157318.0,23245.0,7.9
2015,"Congressional District 9 (114th Congress), Georgia",53453,719802,624130,803,40.9,69513.0,155825.0,24435.0,5.1
2015,"Congressional District 10 (114th Congress), Georgia",186552,726265,501416,882,36.4,69311.0,153520.0,23517.0,6.3
2015,"Congressional District 11 (114th Congress), Georgia",118256,744746,546130,1148,36.6,133102.0,105645.0,32229.0,4.9
2015,"Congressional District 12 (114th Congress), Georgia",249871,713146,418868,739,35.2,57784.0,149666.0,22116.0,7.4
2015,"Congressional District 13 (114th Congress), Georgia",441129,755256,245120,999,35.6,90239.0,142101.0,27053.0,8.2
2015,"Congressional District 14 (114th Congress), Georgia",60842,704108,593095,758,37.4,49149.0,156914.0,23691.0,5.4
2015,"Congressional District 1 (114th Congress), Hawaii",17215,705773,134281,1626,38.6,113293.0,123391.0,33116.0,4.0
2015,"Congressional District 2 (114th Congress), Hawaii",12429,725830,237971,1428,36.9,91740.0,144177.0,31204.0,5.9
2015,"Congressional District 1 (114th Congress), Idaho",3730,849601,777966,870,37.9,95419.0,162544.0,24900.0,5.9
2015,"Congressional District 2 (114th Congress), Idaho",5098,805329,736438,789,33.7,94147.0,130123.0,22840.0,4.8
2015,"Congressional District 1 (114th Congress), Illinois",366000,717447,292962,1060,38.0,75807.0,132924.0,25564.0,13.0
2015,"Congressional District 2 (114th Congress), Illinois",396854,702674,259279,992,38.3,67843.0,142663.0,25211.0,14.5
2015,"Congressional District 3 (114th Congress), Illinois",37220,727484,529421,1150,37.2,81661.0,151326.0,30012.0,6.7
2015,"Congressional District 4 (114th Congress), Illinois",29621,708172,420639,1031,32.2,71248.0,120814.0,23543.0,7.1
2015,"Congressional District 5 (114th Congress), Illinois",22789,735985,605720,1425,35.2,164585.0,98839.0,41557.0,4.6
2015,"Congressional District 6 (114th Congress), Illinois",21840,726447,605574,1569,40.7,145832.0,87786.0,40951.0,4.4
2015,"Congressional District 7 (114th Congress), Illinois",352801,721321,254369,1230,34.3,107445.0,114393.0,27180.0,10.4
2015,"Congressional District 8 (114th Congress), Illinois",32592,710467,465938,1255,37.4,112613.0,109550.0,31037.0,5.4
2015,"Congressional District 9 (114th Congress), Illinois",61842,722268,522236,1280,40.2,154530.0,90958.0,33686.0,5.5
2015,"Congressional District 10 (114th Congress), Illinois",50442,714251,547767,1381,37.9,121322.0,95313.0,32831.0,5.6
2015,"Congressional District 11 (114th Congress), Illinois",80958,729611,479801,1290,35.3,99100.0,113230.0,30561.0,5.3
2015,"Congressional District 12 (114th Congress), Illinois",120327,699369,549043,736,39.1,66151.0,152282.0,26008.0,8.1
2015,"Congressional District 13 (114th Congress), Illinois",80031,706596,569123,790,36.5,82594.0,142774.0,26114.0,6.2
2015,"Congressional District 14 (114th Congress), Illinois",24656,728436,637842,1524,39.1,119936.0,113792.0,37284.0,4.2
2015,"Congressional District 15 (114th Congress), Illinois",31788,703653,654976,650,39.9,63403.0,168995.0,27025.0,5.8
2015,"Congressional District 16 (114th Congress), Illinois",28294,701275,627129,872,40.2,66802.0,165367.0,27432.0,7.1
2015,"Congressional District 17 (114th Congress), Illinois",81708,691375,567487,692,40.1,57462.0,165856.0,25300.0,7.9
2015,"Congressional District 18 (114th Congress), Illinois",24861,713164,649373,814,39.9,99363.0,147330.0,31791.0,4.8
2015,"Congressional District 1 (114th Congress), Indiana",134039,716495,498774,894,38.7,71606.0,169521.0,27103.0,8.1
2015,"Congressional District 2 (114th Congress), Indiana",48564,725415,627718,734,37.5,61859.0,171190.0,25350.0,5.3
2015,"Congressional District 3 (114th Congress), Indiana",42659,735864,646878,734,36.8,70794.0,167962.0,26720.0,4.7
2015,"Congressional District 4 (114th Congress), Indiana",27370,747601,667522,812,36.3,79426.0,165247.0,27107.0,4.9
2015,"Congressional District 5 (114th Congress), Indiana",64798,760212,643033,990,37.9,141164.0,122142.0,33026.0,4.3
2015,"Congressional District 6 (114th Congress), Indiana",19186,721380,672439,752,40.4,60201.0,193304.0,25626.0,5.4
2015,"Congressional District 7 (114th Congress), Indiana",218178,749776,461749,808,33.4,72579.0,148643.0,22988.0,9.1
2015,"Congressional District 8 (114th Congress), Indiana",29119,720955,663238,700,39.6,60558.0,186935.0,24687.0,5.1
2015,"Congressional District 9 (114th Congress), Indiana",21747,741982,678343,835,37.3,79036.0,171831.0,26443.0,5.4
2015,"Congressional District 1 (114th Congress), Iowa",28817,771888,700787,750,38.9,89343.0,174082.0,28987.0,3.5
2015,"Congressional District 2 (114th Congress), Iowa",31361,778329,699043,775,38.1,85009.0,172832.0,27417.0,4.7
