year,district,black_pop,total_pop,white_pop,mortgage_cost,median_age,bach_deg_num,median_HH_income,high_school_num,unemp_rate
2006,"Congressional District 13 (109th Congress), Georgia",385253,759700,262958,986,32.1,72004.0,23969.0,151692.0,9.8
2006,"Congressional District 1 (109th Congress), Hawaii",17348,623230,123875,1264,38.6,93018.0,29316.0,114430.0,4.4
2006,"Congressional District 2 (109th Congress), Hawaii",10714,662268,213632,1247,36.0,78298.0,26586.0,140012.0,4.3
2006,"Congressional District 1 (109th Congress), Idaho",3270,779833,724895,839,35.5,80536.0,22475.0,157807.0,5.9
2006,"Congressional District 2 (109th Congress), Idaho",3572,686632,632234,690,32.8,68417.0,21138.0,119313.0,4.6
2006,"Congressional District 1 (109th Congress), Illinois",414218,643626,177886,918,34.4,52670.0,21525.0,122737.0,13.0
2006,"Congressional District 2 (109th Congress), Illinois",437917,640930,144296,984,35.3,48408.0,23729.0,124256.0,14.7
2006,"Congressional District 3 (109th Congress), Illinois",43792,649720,439529,999,36.9,62925.0,27075.0,130232.0,7.0
2006,"Congressional District 4 (109th Congress), Illinois",33666,603695,187362,918,29.3,46093.0,20168.0,90121.0,8.4
2006,"Congressional District 5 (109th Congress), Illinois",20379,664430,446217,1142,35.3,104998.0,29078.0,107804.0,6.4
2006,"Congressional District 6 (109th Congress), Illinois",22402,661838,518391,1262,36.9,99223.0,31001.0,116702.0,5.4
2006,"Congressional District 7 (109th Congress), Illinois",349960,626631,201438,1143,34.2,75749.0,25676.0,95810.0,11.5
2006,"Congressional District 8 (109th Congress), Illinois",28482,738061,597650,1419,35.2,112813.0,33463.0,121319.0,6.2
2006,"Congressional District 9 (109th Congress), Illinois",61876,638091,429262,1038,40.1,103889.0,26576.0,96367.0,6.6
2006,"Congressional District 10 (109th Congress), Illinois",30939,651007,528216,1566,39.3,122501.0,33641.0,75416.0,4.8
2006,"Congressional District 11 (109th Congress), Illinois",57102,745974,637671,987,34.2,64877.0,25782.0,162868.0,6.3
2006,"Congressional District 12 (109th Congress), Illinois",110784,651359,517286,648,36.1,58631.0,22328.0,146435.0,8.7
2006,"Congressional District 13 (109th Congress), Illinois",52318,781037,616133,1546,35.5,139228.0,36789.0,100292.0,5.2
2006,"Congressional District 14 (109th Congress), Illinois",38385,795610,648468,1358,32.6,94905.0,27169.0,138374.0,5.9
2006,"Congressional District 15 (109th Congress), Illinois",41519,662504,582005,675,35.4,67069.0,21834.0,144677.0,5.8
2006,"Congressional District 16 (109th Congress), Illinois",39161,722010,635002,925,36.6,75006.0,24950.0,159114.0,6.3
2006,"Congressional District 17 (109th Congress), Illinois",46778,631658,553367,586,39.1,47125.0,20140.0,162118.0,7.8
2006,"Congressional District 18 (109th Congress), Illinois",46367,655833,585878,701,38.7,70763.0,25148.0,153640.0,5.6
2006,"Congressional District 19 (109th Congress), Illinois",22301,667956,628596,628,38.5,58983.0,22646.0,156925.0,5.8
2006,"Congressional District 1 (109th Congress), Indiana",129192,702226,509267,867,36.9,59021.0,24371.0,175164.0,8.5
2006,"Congressional District 2 (109th Congress), Indiana",56402,678653,576447,733,36.7,53669.0,21987.0,174686.0,6.9
2006,"Congressional District 3 (109th Congress), Indiana",41387,714551,623898,745,35.2,62968.0,25098.0,159741.0,5.8
2006,"Congressional District 4 (109th Congress), Indiana",20422,755830,703484,887,34.5,74032.0,24675.0,170811.0,6.4
